"Время","Rambler, Визиты","Rambler, Доля","Mail.ru, Визиты","Mail.ru, Доля","Google, Визиты","Google, Доля","Яндекс, Визиты","Яндекс, Доля","Остальные, Визиты","Остальные, Доля"
"2015-02-07 - 2015-02-07","1173772","0.006820676703508419","9403704","0.05464402354076339","57383614","0.3334506864816332","99100119","0.5758613026875851","5029047","0.029223310586509905"
"2015-02-08 - 2015-02-08","1276060","0.0067307488574972355","10266799","0.05415360221259483","62818164","0.33134279389141097","109857460","0.5794578416238643","5368148","0.028315013414632596"
"2015-02-09 - 2015-02-09","1698475","0.007686527664263243","12287560","0.055607924677310204","70389445","0.31855070946857383","130584875","0.5909679295967604","6007431","0.027186908593092383"
"2015-02-10 - 2015-02-10","1678196","0.007726979196631305","12088111","0.055657731411331006","69177883","0.3185182557984851","128426485","0.5913187600801589","5815881","0.02677827351339371"
"2015-02-11 - 2015-02-11","1643404","0.007718199264803155","11829406","0.05555646249629308","68250351","0.32053579576948654","125471113","0.5892714464067469","5731558","0.02691809606267031"
"2015-02-12 - 2015-02-12","1593372","0.0075698355253065504","11642593","0.05531195106860506","67941884","0.32278017133441333","123620884","0.5873014960555352","5690913","0.027036546016139907"
"2015-02-13 - 2015-02-13","1540537","0.007723918631612199","11183984","0.05607407182901334","64301457","0.3223935691009763","116841505","0.5858179825704348","5582702","0.02799045786796337"
"2015-02-14 - 2015-02-14","1159052","0.006828362860691275","9204995","0.054229703232338916","57097317","0.3363793849179472","97455989","0.5741458155799201","4823480","0.02841673340910257"
"2015-02-15 - 2015-02-15","1282110","0.006815855639421604","10188319","0.054162366343274974","62660122","0.3331089734114434","108686119","0.5777888770175706","5290307","0.028123927588289296"
"2015-02-16 - 2015-02-16","1549886","0.006945310587133377","12392684","0.055533787251577496","71445057","0.32015781211034083","131689227","0.5901224880375142","6078897","0.027240602013434104"
"2015-02-17 - 2015-02-17","1638890","0.007512163738208229","12106077","0.05549050433607908","70281930","0.32215058118439255","128238161","0.5878039788629552","5899782","0.027042771878365002"
"2015-02-18 - 2015-02-18","1631076","0.007618851060915046","11942400","0.05578364644558062","68633033","0.3205888973204605","126100995","0.5890250972598414","5776744","0.026983507913202465"
"2015-02-19 - 2015-02-19","1614438","0.007572208790487721","11898378","0.055807037795285855","68473627","0.32116228699149635","125439043","0.5883475389423237","5780204","0.027110927480406364"
"2015-02-20 - 2015-02-20","1461482","0.007578358246665412","10801499","0.05601001519211199","62681541","0.32502841167461943","112457597","0.583136814292017","5447302","0.028246400594586177"
"2015-02-21 - 2015-02-21","1124409","0.0067858510224319945","9030049","0.05449668869535997","56211809","0.33924040235839636","94551646","0.570622774881496","4781127","0.028854283042315756"
"2015-02-22 - 2015-02-22","1160742","0.006708899123707987","9369238","0.054152664940194786","58846707","0.3401243523758085","98728893","0.5706368717013425","4909691","0.02837721185894625"
"2015-02-23 - 2015-02-23","1240498","0.006561347932487371","10065157","0.05323748774452743","64465579","0.34097684437076986","108200110","0.5723012596903874","5090113","0.02692306026182798"
"2015-02-24 - 2015-02-24","1681987","0.007721748277002737","12008394","0.055128723158425125","70229036","0.3224108971880063","128070290","0.5879513582107001","5834928","0.02678727316586574"
"2015-02-25 - 2015-02-25","1629092","0.007644885869566747","11669004","0.05475946342595621","68862836","0.3231545682347543","125177944","0.5874260602022585","5756784","0.027015022267464293"
"2015-02-26 - 2015-02-26","1594268","0.007616812564783383","11499546","0.054940503392217926","68355805","0.3265783133073504","122229975","0.5839688241708162","5629482","0.02689554656483219"
"2015-02-27 - 2015-02-27","1502269","0.007663519780504674","10882279","0.05551373314198098","65340754","0.333322567897021","112856806","0.5757160436283905","5446485","0.027784135552102854"
"2015-02-28 - 2015-02-28","1172847","0.006650963317534053","9419650","0.05341681107084696","61458715","0.34851916661574767","99215797","0.5626314654570505","5075416","0.028781593538820847"
"2015-03-01 - 2015-03-01","1251146","0.00662084938516738","9976824","0.0527956361977924","65269684","0.34539593874853075","107186983","0.5672150736153067","5285981","0.02797250205320279"
"2015-03-02 - 2015-03-02","1617858","0.007415365662621603","11743089","0.053823820720798395","72344589","0.3315875566008095","126551105","0.5800402251519113","5919788","0.027133031863859135"
"2015-03-03 - 2015-03-03","1595762","0.007425236077690497","11621174","0.054074454993864235","71249108","0.3315290420657132","124516724","0.5793884497316205","5927840","0.027582817131111558"
"2015-03-04 - 2015-03-04","1549193","0.00736463292382487","11427056","0.05432252330083502","69820200","0.33191483802730654","121730749","0.5786898610613792","5828568","0.027708144686654324"
"2015-03-05 - 2015-03-05","1504557","0.007435209569960461","11051291","0.0546131948497916","67444626","0.33329739496582983","116644720","0.5764340855343854","5710501","0.028220115080032707"
"2015-03-06 - 2015-03-06","1320331","0.00736114746237745","9829184","0.0547999500571001","60766240","0.33878569341643805","102197339","0.5697735512091877","5251741","0.029279657854896696"
"2015-03-07 - 2015-03-07","1055786","0.006591566061175825","8632904","0.053897624154695206","56361028","0.35187759577961863","89385996","0.5580616692947228","4736541","0.029571544709787602"
"2015-03-08 - 2015-03-08","1061827","0.006483068688942721","8667695","0.05292129702842872","58167647","0.3551471670763439","91259577","0.5571925617024782","4627883","0.02825590550380647"
"2015-03-09 - 2015-03-09","1213685","0.006593514959670815","9940204","0.05400156035229873","63889920","0.34709100243652313","103979237","0.5648818718651522","5049487","0.027432050386355034"
"2015-03-10 - 2015-03-10","1616451","0.0075609663665392015","11719917","0.05482003367601679","71197725","0.333028099273722","123543555","0.5778762635908455","5711294","0.026714637092876393"
"2015-03-11 - 2015-03-11","1567081","0.007460095183323601","11510143","0.05479408042957949","70232352","0.3343413843117794","121148885","0.5767297372972583","5603336","0.026674702778059164"
"2015-03-12 - 2015-03-12","1565618","0.007342120650843001","11658939","0.05467574900059838","70981561","0.33287505946352947","123318764","0.5783155557746744","5712965","0.026791515110354682"
"2015-03-13 - 2015-03-13","1477487","0.007436830053373001","10960157","0.0551672028026551","66337230","0.3339039231624488","114365840","0.5756526561595792","5530896","0.02783938782194396"
"2015-03-14 - 2015-03-14","1125569","0.0066663624393671385","9111094","0.05396191155152932","58786171","0.3481705007055221","95112463","0.5633187755338827","4707758","0.02788244976969885"
"2015-03-15 - 2015-03-15","1226906","0.00651400893180991","10211209","0.05421434619325176","65250671","0.34643522299229923","106626283","0.5661106554436046","5033767","0.026725766439034432"
"2015-03-16 - 2015-03-16","1619254","0.007412675883869747","12035844","0.055098094900996625","72620920","0.33244651076880727","126441385","0.5788276609553473","5726520","0.026215057490979046"
"2015-03-17 - 2015-03-17","1589380","0.007385895962997562","11889000","0.05524853534339051","71358191","0.33160362835426954","124706792","0.5795161582448355","5647862","0.026245782094506877"
"2015-03-18 - 2015-03-18","1524938","0.00730498166976242","11491613","0.05504881006375573","69431742","0.33260211405950507","120800459","0.5786760764659854","5504407","0.02636801774099141"
"2015-03-19 - 2015-03-19","1553552","0.007529881189092219","11352788","0.05502560893034278","68379143","0.3314255477782185","119591096","0.5796437738507123","5441683","0.026375188251634266"
"2015-03-20 - 2015-03-20","1473472","0.007516749533922065","10957661","0.0558992591746745","65214930","0.3326865353954877","113086374","0.5768972529219668","5292719","0.027000202973948915"
"2015-03-21 - 2015-03-21","1135057","0.006720061972555651","9187404","0.05439367736325636","58241575","0.34481703859739893","95562227","0.5657725450575881","4779471","0.028296677009200882"
"2015-03-22 - 2015-03-22","1242840","0.006633115893542151","10115811","0.05398872479174192","64175990","0.3425113282906908","106710025","0.5695181703419429","5124290","0.027348660682082256"
"2015-03-23 - 2015-03-23","1641611","0.00747148265550571","12275536","0.055869785418735586","72345436","0.3292665986515676","127313884","0.5794451158715834","6140432","0.02794701740260771"
"2015-03-24 - 2015-03-24","1602322","0.007477227539586938","12035715","0.05616460340469619","70805659","0.3304142509641644","123903723","0.5781960990818023","5946180","0.02774781900975026"
"2015-03-25 - 2015-03-25","1554059","0.007518976372712172","11548712","0.05587593049122172","68594055","0.33187741189589276","119234006","0.576887797656216","5754084","0.027839883583957333"
"2015-03-26 - 2015-03-26","1527438","0.007438811188130052","11403307","0.055535509587480304","67602406","0.3292320435247193","119036896","0.5797243447950579","5763569","0.02806929090461252"
"2015-03-27 - 2015-03-27","1460920","0.007449648834613268","10910245","0.05563445907345729","64980332","0.3313532941958377","113219473","0.5773384682870919","5534918","0.028224129608999803"
"2015-03-28 - 2015-03-28","1150693","0.006658905901020349","9296312","0.053796509437813805","59884303","0.34654242150181724","97545226","0.5644811266147995","4928581","0.028521036544549044"
"2015-03-29 - 2015-03-29","1269944","0.006661805152984531","10189595","0.05345203920631572","65068540","0.3413331100183788","108559131","0.5694737549839385","5543403","0.02907929063838241"
"2015-03-30 - 2015-03-30","1652570","0.007455066417249282","12177072","0.054933152924007175","72592550","0.3274791879602615","129059933","0.5822145944321525","6188603","0.02791799826632951"
"2015-03-31 - 2015-03-31","1621411","0.007691457624554161","12004886","0.05694735755252894","64855759","0.3076550745349558","126572349","0.6004189306559412","5752321","0.027287179632019896"
"2015-04-01 - 2015-04-01","1569525","0.007466396612742715","11396403","0.0542138957688797","69938927","0.33270688115936986","122388448","0.5822148061267185","4918541","0.023398020332289174"
"2015-04-02 - 2015-04-02","1559843","0.007437819566075035","11442911","0.054563380627829366","69857274","0.3331013437825889","121949756","0.5814945999404275","4907995","0.023402856083079154"
"2015-04-03 - 2015-04-03","1483267","0.0074651237266976376","10878108","0.05474835085819302","66308298","0.33372255209395035","115284888","0.5802164766953487","4738328","0.0238474966258103"
"2015-04-04 - 2015-04-04","1144341","0.006635083263455726","9139193","0.05299059154202438","60282694","0.3495292871927361","97531764","0.5655057146180322","4370228","0.02533932338375151"
"2015-04-05 - 2015-04-05","1251781","0.006486557548033667","10211344","0.052913784838376915","66736309","0.34581840503399325","110134920","0.5707040581604003","4646436","0.024077194419195817"
"2015-04-06 - 2015-04-06","1606046","0.007400485637660824","11703875","0.05393018558775874","72503567","0.33408856674259596","126205585","0.5815416365316326","4999928","0.02303912550035193"
"2015-04-07 - 2015-04-07","1559593","0.007243130653209084","11685379","0.05426975296071841","71984689","0.3343144701583187","125152278","0.5812377338836124","4938352","0.022934912344141314"
"2015-04-08 - 2015-04-08","1473986","0.00709181507517215","11251099","0.054132612860945964","69977671","0.3366848139149469","120369606","0.5791364276345448","4770903","0.022954330514390255"
"2015-04-09 - 2015-04-09","1453292","0.007136134243223529","10957588","0.05380530474944831","68990097","0.3387637127604176","117564645","0.5772804701167541","4686937","0.023014378130156467"
"2015-04-10 - 2015-04-10","1355648","0.00711843375763966","10371552","0.0544604542446971","64977599","0.34119383070824655","109251492","0.5736736296776886","4485602","0.023553651611728097"
"2015-04-11 - 2015-04-11","966639","0.006281752854425174","8027540","0.05216737821359603","55345131","0.35966315722600173","85778126","0.5574335277675969","3763021","0.024454183938380166"
"2015-04-12 - 2015-04-12","1008588","0.006227768812912691","8469822","0.052298949920603646","57770451","0.3567175229585329","90808150","0.5607167292574347","3893124","0.024039029050516074"
"2015-04-13 - 2015-04-13","1511833","0.007211442820753008","11244850","0.053637930117244735","70455555","0.33607296988947766","121524145","0.5796701242851542","4907240","0.023407532887370488"
"2015-04-14 - 2015-04-14","1452579","0.0069142780349075","11235784","0.053482347270726836","70774029","0.3368844752379088","121904562","0.5802658825383125","4717019","0.022453016918144445"
"2015-04-15 - 2015-04-15","1419489","0.006923181731109868","10842103","0.05287948650282707","69149510","0.33725842493122465","118970231","0.5802457995835972","4652863","0.022693107251241153"
"2015-04-16 - 2015-04-16","1407676","0.006850803959955815","10936982","0.05322753218465434","69753370","0.33947205423425786","118739545","0.5778754096037382","4638457","0.022574200017393756"
"2015-04-17 - 2015-04-17","1368482","0.007167718930627846","10307022","0.0539852454820726","64797077","0.3393886331440605","110023600","0.5762722787262279","4426763","0.02318612371701119"
"2015-04-18 - 2015-04-18","1016700","0.00634685944572309","8389086","0.05236977448616439","57096990","0.3564341204916463","89794350","0.5605509181371744","3892336","0.024298327439291854"
"2015-04-19 - 2015-04-19","1161620","0.00631605148182777","9629620","0.05235892604331737","64526387","0.35084793842077633","104303477","0.5671270557201483","4294433","0.023350028333930264"
"2015-04-20 - 2015-04-20","1566127","0.0072112579623490325","11565869","0.053255237230273055","72996257","0.33611248609654665","126159586","0.5809039235446152","4890219","0.022517095166216097"
"2015-04-21 - 2015-04-21","1502624","0.007169081616047402","11078043","0.052853804020887865","70310943","0.3354564341234113","122005399","0.5820928342881706","4700828","0.02242784595148279"
"2015-04-22 - 2015-04-22","1494022","0.0071400519248089826","11209266","0.053569988446619844","69784489","0.33350571477947527","122134816","0.5836921598657789","4622664","0.02209208498331697"
"2015-04-23 - 2015-04-23","1469382","0.007092255406453332","11024645","0.0532125737932537","69327015","0.3346201987958348","120780020","0.5829680435969282","4580140","0.022106928407529945"
"2015-04-24 - 2015-04-24","1373986","0.007171550946267081","10232901","0.05341085778865824","64196945","0.33507740374516615","111438009","0.5816532038128989","4346563","0.022686983707009743"
"2015-04-25 - 2015-04-25","1006825","0.0063929974617484035","8087190","0.05135091514680016","55539987","0.35266009079685084","89149622","0.566069880229265","3705098","0.02352611636533567"
"2015-04-26 - 2015-04-26","1077247","0.006163795313248126","8937728","0.051139920517287635","61059465","0.3493702411762929","99775817","0.5708975872758083","3919823","0.02242845571736306"
"2015-04-27 - 2015-04-27","1514757","0.007247474352384522","10981020","0.05253955638628604","69777942","0.3338580676683948","122476512","0.5859985327610403","4254579","0.020356368831894348"
"2015-04-28 - 2015-04-28","1428007","0.007239848914625219","10362782","0.05253824106968507","66691117","0.3381171177925553","115075121","0.5834190517779085","3685625","0.018685740445225814"
"2015-04-29 - 2015-04-29","1358116","0.007236915149738808","9801952","0.0522311017069327","64143443","0.34179750065760783","108827291","0.5799017690263084","3534242","0.01883271345941229"
"2015-04-30 - 2015-04-30","1198272","0.007225364113376095","8866673","0.05346443954230822","57439103","0.3463474349068602","94900833","0.572234912513768","3437557","0.02072784892368744"
"2015-05-01 - 2015-05-01","858344","0.006475952463015421","6807674","0.05136189360874666","48167864","0.36341233527465894","73587476","0.5551958147890452","3121925","0.023554003864533827"
"2015-05-02 - 2015-05-02","856258","0.006305960875407809","7015969","0.051669503837714854","49670510","0.36580130372101904","75038388","0.5526244880417711","3204367","0.02359874352408724"
"2015-05-03 - 2015-05-03","926873","0.006237524419519163","7631603","0.05135796389858773","53822465","0.3622059761760408","82799428","0.5572105931149345","3415923","0.022987942390917802"
"2015-05-04 - 2015-05-04","1086050","0.006308781991247938","8924637","0.05184253872660101","60975739","0.3542034382452323","97367303","0.5655992704781376","3795190","0.022045970558781144"
"2015-05-05 - 2015-05-05","1407096","0.007035443521225342","10590775","0.05295360043558175","67966958","0.33983302796575","115759159","0.5787927939593633","4277049","0.0213851341180796"
"2015-05-06 - 2015-05-06","1365940","0.006947303078093075","10385499","0.05282165334511951","67471294","0.3431655332511843","113193247","0.5757118125997114","4198445","0.021353697725891675"
"2015-05-07 - 2015-05-07","1332046","0.007010905465804737","10059050","0.05294340332526289","65491627","0.34469951165255935","109011896","0.5737580365123558","4101667","0.021588143044017186"
"2015-05-08 - 2015-05-08","1153205","0.00692187286796721","8748511","0.052511115479045516","58542287","0.35138788681461625","94462000","0.5669884841410838","3697028","0.022190640697287198"
"2015-05-09 - 2015-05-09","758742","0.006141784014293093","6259333","0.050667382798813325","46632873","0.37747881879737766","67231336","0.5442170654904667","2655437","0.021494948899049224"
"2015-05-10 - 2015-05-10","865158","0.006006325234099247","7437917","0.051637444913224834","53387125","0.37063800607924885","79273913","0.5503560090268926","3077038","0.02136221474653448"
"2015-05-11 - 2015-05-11","1022616","0.006098792632695047","8575762","0.05114509660062636","60867570","0.3630088786856944","93720347","0.5589399753350459","3488860","0.020807256745938297"
"2015-05-12 - 2015-05-12","1453037","0.007077099681825012","10778085","0.0524952784575912","70431947","0.34304281976578443","118360007","0.5764791728500418","4292246","0.020905629244757487"
"2015-05-13 - 2015-05-13","1407685","0.007014538287551327","10431490","0.05198044022718776","69216530","0.3449081291741015","115542290","0.5757508370383707","4083068","0.020346055272788745"
"2015-05-14 - 2015-05-14","1373884","0.006934079598851329","10191590","0.05143760048072269","68501717","0.34573250604562483","114111977","0.5759303781835236","3955852","0.019965435691277594"
"2015-05-15 - 2015-05-15","1286123","0.007050843352074905","9330901","0.05115429961575921","63207866","0.346521103957352","104786975","0.574468029933987","3795109","0.020805723140826838"
"2015-05-16 - 2015-05-16","987088","0.006173422418571672","7808942","0.048838500324313444","58264237","0.3643948127185956","89448867","0.5594289879459945","3384023","0.021164276592524844"
"2015-05-17 - 2015-05-17","1108947","0.006014018419568193","9068205","0.04917850167990029","66306686","0.3595930472281583","104210910","0.5651544503569271","3698934","0.020059982315446145"
"2015-05-18 - 2015-05-18","1518140","0.006983319886852315","11160357","0.051336729802568565","73914655","0.34000137022364724","126385301","0.5813620521685192","4416715","0.02031652791841261"
"2015-05-19 - 2015-05-19","1464435","0.006957541850699719","10854597","0.051570273108727666","71452666","0.339472160962466","122365329","0.5813586110630652","4344639","0.020641413015041413"
"2015-05-20 - 2015-05-20","1365526","0.006834962889936468","10305605","0.05158336621444317","68723633","0.34398721168005086","115251986","0.5768788344575477","4138680","0.020715624758021644"
"2015-05-21 - 2015-05-21","1324167","0.006924416370418508","9881522","0.051673068956899416","65826209","0.3442225030545166","110151951","0.5760134278666794","4047719","0.021166583751486053"
"2015-05-22 - 2015-05-22","1221989","0.00700927058372859","8991021","0.05157206735329534","60652933","0.34790232898476264","99694281","0.5718416378373882","3778744","0.021674695240825336"
"2015-05-23 - 2015-05-23","866449","0.006110193591776426","6988266","0.049281213471109184","52379282","0.3693784091368913","78480775","0.5534459944932103","3089082","0.02178418930701277"
"2015-05-24 - 2015-05-24","987650","0.005980285541998338","8057090","0.04878620851271137","60860758","0.36851588228872545","91803547","0.5558764995983039","3441932","0.020841124058260944"
"2015-05-25 - 2015-05-25","1424631","0.007074213855366183","10291933","0.05110610047591302","69001403","0.3426365712541041","116456448","0.5782815465817684","4209234","0.020901567832848234"
"2015-05-26 - 2015-05-26","1353350","0.006931634594320086","9916592","0.0507911421028986","67189845","0.3441352599024675","112710319","0.5772835898453855","4072442","0.020858373554928197"
"2015-05-27 - 2015-05-27","1323052","0.006908219056143997","9664078","0.05046027503050671","66421888","0.34681702036402373","110140679","0.5750914835731619","3968839","0.020723001976163814"
"2015-05-28 - 2015-05-28","1302651","0.00691489161228246","9576003","0.050832512180078684","65304789","0.3466588807731126","108240763","0.5745768775948076","3959224","0.021016837839718704"
"2015-05-29 - 2015-05-29","1201315","0.006866097767873376","8927028","0.05102229392336159","61293570","0.3503224750893733","99833116","0.5705946691146317","3708253","0.021194464104759992"
"2015-05-30 - 2015-05-30","848397","0.006078706632369571","6779875","0.04857734189198766","52115897","0.3734068469664431","76933057","0.5512201054864247","2891444","0.020716999022774955"
"2015-05-31 - 2015-05-31","959243","0.0061277696666972355","7578354","0.04841151591900453","57283487","0.3659344024832555","87512568","0.5590417231558419","3206664","0.020484588775200888"
"2015-06-01 - 2015-06-01","1371591","0.007075789366978117","9711332","0.05009900160091043","66739704","0.34429803630854017","112015980","0.5778701378294502","4004218","0.020657034894121053"
"2015-06-02 - 2015-06-02","1349032","0.00695538236302371","9747400","0.050255956897491905","67036436","0.3456286023121525","111814027","0.5764943391516708","4008222","0.02066571927566108"
"2015-06-03 - 2015-06-03","1308104","0.006887770569332443","9599286","0.05054466586556188","66317471","0.3491920558199943","108753891","0.5726393694463044","3938143","0.02073613829880696"
"2015-06-04 - 2015-06-04","1266055","0.006788644442471807","9477058","0.05081641565546755","65545498","0.35145793881525444","106280382","0.569880237910739","3927002","0.021056763176067132"
"2015-06-05 - 2015-06-05","1160974","0.0065886627198577016","8836716","0.050149392902140856","61900325","0.35129155663656186","100550688","0.5706368699743863","3759133","0.02133351776705322"
"2015-06-06 - 2015-06-06","819195","0.005809855131881609","6764487","0.04797476731608033","52648383","0.37339031385423305","77783433","0.5516518989867116","2985436","0.02117316471109333"
"2015-06-07 - 2015-06-07","898116","0.005832151198147719","7350236","0.04773068032867525","56774116","0.36867757467095297","85758573","0.5568957286958351","3212909","0.02086386510638892"
"2015-06-08 - 2015-06-08","1346229","0.006719910485652325","10000944","0.049921260388850405","69349796","0.34617024393193846","115429035","0.5761818996955415","4208361","0.021006685498017277"
"2015-06-09 - 2015-06-09","1294740","0.006558089993898233","9855009","0.04991738566250909","68415882","0.3465386959296246","113749783","0.5761630240051248","4110971","0.02082280440884333"
"2015-06-10 - 2015-06-10","1238384","0.006529795897951786","9460598","0.04988418294533106","65980894","0.3479064417695897","108993851","0.574706715495168","3977530","0.020972863891959334"
"2015-06-11 - 2015-06-11","1120473","0.006583881571467086","8459010","0.04970500855607926","60060159","0.3529125414173149","96897170","0.5693662336266143","3647446","0.021432334828524503"
"2015-06-12 - 2015-06-12","795180","0.005920270886008094","6390801","0.04758076548526298","50552264","0.3763715093198962","73717785","0.5488433515889537","2858770","0.02128410271987897"
"2015-06-13 - 2015-06-13","772910","0.005901394689431956","6236140","0.04761475912920546","49447113","0.3775432198651096","71722200","0.5476200465699456","2792372","0.021320579746307453"
"2015-06-14 - 2015-06-14","882059","0.005956054362525425","6710001","0.04530890873354272","55441795","0.37436763864547645","81975651","0.553536026228871","3085012","0.020831372029584513"
